Categoría,Subcategoría,Descripción,Cantidad,Unidad,Costo Unitario (MXN),Costo Total (MXN),Proveedor/Responsable,Fecha Estimada de Gasto,Notas
TECNOLOGÍA,Plataforma Híbrida,Licencia plataforma eventos híbridos (Hopin/Webex Events),1,Licencia 4 días,"$120,000","$120,000",Por cotizar,Jul 2026,Incluye 1000 participantes virtuales simultáneos
TECNOLOGÍA,Plataforma Híbrida,Soporte técnico especializado durante evento,4,Días,"$7,500","$30,000",Por cotizar,Ago 2026,Equipo de 2 técnicos en sitio
TECNOLOGÍA,Equipamiento Audiovisual,Cámaras PTZ profesionales (3 unidades),3,Unidad,"$15,000","$45,000",Proveedor AV,Ago 2026,Renta por 4 días
TECNOLOGÍA,Equipamiento Audiovisual,Sistema de audio profesional (micrófonos inalámbricos),8,Unidad,"$2,500","$20,000",Proveedor AV,Ago 2026,Incluye mezcladora
TECNOLOGÍA,Equipamiento Audiovisual,Pantallas LED 3x2m para salas principales,3,Unidad,"$12,000","$36,000",Proveedor AV,Ago 2026,Renta por 4 días
TECNOLOGÍA,Equipamiento Audiovisual,Proyectores HD para salas paralelas,5,Unidad,"$3,000","$15,000",Proveedor AV,Ago 2026,Incluye pantallas
TECNOLOGÍA,Internet y Conectividad,Enlace dedicado de internet 500 Mbps,1,Servicio,"$18,000","$18,000",Telmex/Totalplay,Ago 2026,Instalación temporal venue
TECNOLOGÍA,Registro Digital,Sistema de registro y check-in digital,1,Sistema,"$15,000","$15,000",EventsBox,Jun 2026,Con app móvil
TECNOLOGÍA,Sitio Web,Desarrollo sitio web del congreso,1,Proyecto,"$25,000","$25,000",Agencia Digital,Mar 2026,Con sistema de registro integrado
,,,,,,Subtotal Tecnología:,"$324,000",,,
VENUE Y LOGÍSTICA,Espacios,Renta de auditorios UNAM (4 días),4,Días,"$15,000","$60,000",UNAM,Ago 2026,Precio preferencial por convenio
VENUE Y LOGÍSTICA,Espacios,Acondicionamiento y montaje de salas,1,Servicio,"$35,000","$35,000",Proveedor logística,Ago 2026,Incluye mobiliario adicional
